frame,expression
7315,neutral
7320,neutral
7325,neutral
7330,neutral
7335,neutral
7340,neutral
7345,neutral
7350,neutral
7355,neutral
7360,neutral
7365,neutral
7370,neutral
7375,neutral
7380,neutral
7385,neutral
7390,neutral
7395,neutral
7400,neutral
7405,neutral
7410,neutral
7415,neutral
7420,neutral
7425,neutral
7430,neutral
7435,neutral
7440,neutral
7445,neutral
7450,neutral
7455,neutral
7460,neutral
7465,neutral
7470,neutral
7475,neutral
7480,neutral
7485,neutral
7490,neutral
7495,neutral
7500,neutral
7505,neutral
7510,neutral
7515,neutral
7520,neutral
7525,neutral
7530,neutral
7535,neutral
7540,neutral
7545,neutral
7550,neutral
7555,neutral
7560,neutral
7565,neutral
7570,neutral
7575,neutral
7580,neutral
7585,neutral
7590,neutral
7595,neutral
7600,neutral
7605,neutral
7610,neutral
7615,neutral
7620,neutral
7625,neutral
7630,neutral
7635,neutral
7640,neutral
7645,neutral
7650,neutral
7655,neutral
7660,neutral
7665,neutral
7670,neutral
7675,neutral
7680,neutral
7685,neutral
7690,neutral
7695,neutral
7700,neutral
7705,neutral
7710,neutral
7715,neutral
7720,neutral
7725,neutral
7730,neutral
7735,neutral
7740,neutral
7745,neutral
7750,neutral
7755,neutral
7760,neutral
7765,neutral
7770,neutral
7775,neutral
7780,neutral
7785,neutral
7790,neutral
7795,neutral
7800,neutral
7805,neutral
7810,neutral
7815,neutral
7820,neutral
7825,neutral
7830,neutral
7835,neutral
7840,neutral
7845,neutral
7850,neutral
7855,neutral
7860,neutral
7865,neutral
7870,neutral
7875,neutral
7880,neutral
7885,neutral
7890,neutral
7895,neutral
7900,neutral
7905,neutral
7910,neutral
7915,neutral
7920,neutral
7925,neutral
7930,neutral
7935,neutral
7940,neutral
7945,neutral
7950,neutral
7955,neutral
7960,neutral
7965,neutral
7970,neutral
7975,neutral
7980,neutral
7985,neutral
7990,neutral
7995,neutral
8000,neutral
8005,neutral
8010,neutral
8015,neutral
8020,neutral
8025,neutral
8030,neutral
8035,neutral
8040,neutral
8045,neutral
8050,neutral
8055,neutral
8060,neutral
8065,neutral
8070,neutral
8075,neutral
8080,neutral
8085,neutral
8090,neutral
8095,neutral
8100,neutral
8105,neutral
8110,neutral
8115,neutral
8120,neutral
8125,neutral
8130,neutral
8135,neutral
8140,neutral
8145,neutral
8150,neutral
8155,neutral
8160,neutral
8165,neutral
8170,neutral
8175,neutral
8180,neutral
8185,neutral
8190,neutral
8195,neutral
8200,neutral
8205,neutral
8210,neutral
8215,neutral
8220,neutral
8225,neutral
8230,neutral
8235,neutral
8240,neutral
8245,neutral
8250,neutral
8255,neutral
8260,neutral
8265,neutral
8270,neutral
8275,neutral
8280,neutral
8285,neutral
8290,neutral
8295,neutral
8300,neutral
8305,neutral
8310,neutral
8315,neutral
8320,neutral
8325,neutral
8330,neutral
8335,neutral
8340,neutral
8345,neutral
8350,neutral
8355,neutral
8360,neutral
8365,neutral
8370,neutral
8375,neutral
8380,neutral
8385,neutral
8390,neutral
8395,neutral
8400,neutral
8405,neutral
8410,neutral
8415,neutral
8420,neutral
8425,neutral
8430,neutral
8435,neutral
8440,neutral
8445,neutral
8450,neutral
8455,neutral
8460,neutral
8465,neutral
8470,neutral
8475,neutral
8480,neutral
8485,neutral
8490,neutral
8495,neutral
8500,neutral
8505,neutral
8510,neutral
8515,neutral
8520,neutral
8525,neutral
8530,neutral
8535,neutral
8540,neutral
8545,neutral
8550,neutral
8555,neutral
8560,neutral
8565,neutral
8570,neutral
8575,neutral
8580,neutral
8585,neutral
8590,neutral
8595,neutral
8600,neutral
8605,neutral
8610,neutral
8615,neutral
8620,neutral
8625,neutral
8630,neutral
8635,neutral
8640,neutral
8645,neutral
8650,neutral
8655,neutral
8660,neutral
8665,neutral
8670,neutral
8675,neutral
8680,neutral
8685,neutral
8690,neutral
8695,neutral
8700,neutral
8705,neutral
8710,neutral
8715,neutral
8720,neutral
8725,neutral
8730,neutral
8735,neutral
8740,neutral
8745,neutral
8750,neutral
8755,neutral
8760,neutral
8765,neutral
8770,neutral
8775,neutral
8780,neutral
8785,neutral
8790,neutral
8795,neutral
8800,neutral
8805,neutral
8810,neutral
8815,neutral
8820,neutral
8825,neutral
8830,neutral
8835,neutral
8840,neutral
8845,neutral
8850,neutral
8855,neutral
8860,neutral
8865,neutral
8870,neutral
8875,neutral
8880,neutral
8885,neutral
8890,neutral
8895,neutral
8900,neutral
8905,neutral
8910,neutral
8915,neutral
8920,neutral
8925,neutral
8930,neutral
8935,neutral
8940,neutral
8945,neutral
8950,neutral
8955,neutral
8960,neutral
8965,neutral
8970,neutral
8975,neutral
8980,neutral
8985,neutral
8990,neutral
8995,neutral
9000,neutral
9005,neutral
9010,neutral
9015,neutral
9020,neutral
9025,neutral
9030,neutral
9035,neutral
9040,neutral
9045,neutral
9050,neutral
9055,neutral
9060,neutral
9065,neutral
9070,neutral
9075,neutral
9080,neutral
9085,neutral
9090,neutral
9095,neutral
9100,neutral
9105,neutral
9110,neutral
9115,neutral
9120,neutral
9125,neutral
9130,neutral
9135,neutral
9140,neutral
9145,neutral
9150,neutral
9155,neutral
9160,neutral
9165,neutral
9170,neutral
9175,neutral
9180,neutral
9185,neutral
9190,neutral
9195,neutral
9200,neutral
9205,neutral
